fips,county_name,total_pop
1001,Autauga County,55200
1003,Baldwin County,208107
1005,Barbour County,25782
1007,Bibb County,22527
1009,Blount County,57645
1011,Bullock County,10352
1013,Butler County,20025
1015,Calhoun County,115098
1017,Chambers County,33826
1019,Cherokee County,25853
1021,Chilton County,43930
1023,Choctaw County,13075
1025,Clarke County,24387
1027,Clay County,13378
1029,Cleburne County,14938
1031,Coffee County,51288
1033,Colbert County,54495
1035,Conecuh County,12514
1037,Coosa County,10855
1039,Covington County,37351
1041,Crenshaw County,13865
1043,Cullman County,82313
1045,Dale County,49255
1047,Dallas County,40029
1049,DeKalb County,71200
1051,Elmore County,81212
1053,Escambia County,37328
1055,Etowah County,102939
1057,Fayette County,16585
1059,Franklin County,31542
1061,Geneva County,26491
1063,Greene County,8426
1065,Hale County,14887
1067,Henry County,17124
1069,Houston County,104352
1071,Jackson County,52094
1073,Jefferson County,659892
1075,Lamar County,13933
1077,Lauderdale County,92585
1079,Lawrence County,33171
1081,Lee County,159287
1083,Limestone County,93052
1085,Lowndes County,10236
1087,Macon County,19054
1089,Madison County,357560
1091,Marengo County,19538
1093,Marion County,29965
1095,Marshall County,95145
1097,Mobile County,414659
1099,Monroe County,21512
1101,Montgomery County,226941
1103,Morgan County,119122
1105,Perry County,9486
1107,Pickens County,20298
1109,Pike County,33403
1111,Randolph County,22574
1113,Russell County,58213
1115,St. Clair County,87306
1117,Shelby County,211261
1119,Sumter County,12985
1121,Talladega County,80565
1123,Tallapoosa County,40636
1125,Tuscaloosa County,206213
1127,Walker County,64493
1129,Washington County,16643
1131,Wilcox County,10809
1133,Winston County,23875
2013,Aleutians East Borough,3425
2016,Aleutians West Census Area,5750
2020,Anchorage Municipality,296112
2050,Bethel Census Area,18040
2060,Bristol Bay Borough,890
2068,Denali Borough,2232
2070,Dillingham Census Area,4975
2090,Fairbanks North Star Borough,99653
2100,Haines Borough,2518
2105,Hoonah-Angoon Census Area,2132
2110,Juneau City and Borough,32330
2122,Kenai Peninsula Borough,58220
2130,Ketchikan Gateway Borough,13804
2150,Kodiak Island Borough,13649
2158,Kusilvak Census Area,8198
2164,Lake and Peninsula Borough,1375
2170,Matanuska-Susitna Borough,103464
2180,Nome Census Area,9925
2185,North Slope Borough,9797
2188,Northwest Arctic Borough,7734
2195,Petersburg Borough,3255
2198,Prince of Wales-Hyder Census Area,6474
2220,Sitka City and Borough,8738
2230,Skagway Municipality,1061
2240,Southeast Fairbanks Census Area,6876
2261,Valdez-Cordova Census Area,9301
2275,Wrangell City and Borough,2484
2282,Yakutat City and Borough,689
2290,Yukon-Koyukuk Census Area,5415
4001,Apache County,71522
4003,Cochise County,126279
4005,Coconino County,140217
4007,Gila County,53400
4009,Graham County,37879
