county,pop
Alachua County,268105
Baker County,28679
Bay County,180076
Bradford County,27723
Brevard County,594001
Broward County,1942273
Calhoun County,14324
Charlotte County,185926
Citrus County,147938
Clay County,215294
Collier County,379345
Columbia County,70898
DeSoto County,37371
Dixie County,16740
Duval County,948651
Escambia County,316691
Flagler County,112854
Franklin County,11914
Gadsden County,45787
Gilchrist County,18245
Glades County,13777
Gulf County,15073
Hamilton County,14397
Hardee County,27027
Hendry County,41472
Hernando County,190700
Highlands County,104574
Hillsborough County,1451358
Holmes County,19530
Indian River County,156964
Jackson County,47409
Jefferson County,14278
Lafayette County,8576
Lake County,356115
Lee County,756570
Leon County,291863
Levy County,40979
Liberty County,8333
Madison County,18557
Manatee County,393847
Marion County,360210
Martin County,160420
Miami-Dade County,2705528
Monroe County,75137
Nassau County,85762
Okaloosa County,207430
Okeechobee County,41611
Orange County,1373784
Osceola County,363666
Palm Beach County,1482057
Pasco County,539885
Pinellas County,970985
Polk County,705735
Putnam County,73784
St. Johns County,255410
St. Lucie County,320914
Santa Rosa County,179587
Sarasota County,427766
Seminole County,466695
Sumter County,129938
Suwannee County,44290
Taylor County,21709
Union County,15282
Volusia County,546107
Wakulla County,32855
Walton County,71049
Washington County,25094
