year,state,count,countCat
1928,Alabama,334.99,100-500
1928,Alaska,NA,NA
1928,Arizona,200.75,100-500
1928,Arkansas,481.77,100-500
1928,California,69.22,10-100
1928,Colorado,206.98,100-500
1928,Connecticut,634.95,500-1000
1928,Delaware,256.02,100-500
1928,District Of Columbia,535.63,500-1000
1928,Florida,119.58,100-500
1928,Georgia,159.73,100-500
1928,Hawaii,NA,NA
1928,Idaho,19.59,10-100
1928,Illinois,98.24,10-100
1928,Indiana,263.67,100-500
1928,Iowa,28.63,10-100
1928,Kansas,136.92,100-500
1928,Kentucky,216.26,100-500
1928,Louisiana,260.33,100-500
1928,Maine,401.96,100-500
1928,Maryland,1089.3899999999999,>1000
1928,Massachusetts,981.06,500-1000
1928,Michigan,547.55,500-1000
1928,Minnesota,79.13,10-100
1928,Mississippi,0,0
1928,Missouri,198.63,100-500
1928,Montana,139.86,100-500
1928,Nebraska,78.95,10-100
1928,Nevada,NA,NA
1928,New Hampshire,272.15,100-500
1928,New Jersey,797.14,500-1000
1928,New Mexico,663.41,500-1000
1928,New York,649.97,500-1000
1928,North Carolina,1823.69,>1000
1928,North Dakota,55.73,10-100
1928,Ohio,355.92,100-500
1928,Oklahoma,268.71,100-500
1928,Oregon,223.09,100-500
1928,Pennsylvania,583.95,500-1000
1928,Rhode Island,735.32,500-1000
1928,South Carolina,1138.49,>1000
1928,South Dakota,160.16,100-500
1928,Tennessee,315.43,100-500
1928,Texas,97.35000000000001,10-100
1928,Utah,16.830000000000002,10-100
1928,Vermont,334.8,100-500
1928,Virginia,NA,NA
1928,Washington,344.82,100-500
1928,West Virginia,195.98,100-500
1928,Wisconsin,124.61,100-500
1928,Wyoming,227,100-500
1929,Alabama,111.93,100-500
1929,Alaska,NA,NA
1929,Arizona,54.879999999999995,10-100
1929,Arkansas,67.22,10-100
1929,California,72.8,10-100
1929,Colorado,74.24000000000001,10-100
1929,Connecticut,614.8199999999999,500-1000
1929,Delaware,239.82,100-500
1929,District Of Columbia,94.2,10-100
1929,Florida,78.01,10-100
1929,Georgia,40.63,10-100
1929,Hawaii,NA,NA
1929,Idaho,160.37,100-500
1929,Illinois,506.18,500-1000
1929,Indiana,322.1,100-500
1929,Iowa,82.95,10-100
1929,Kansas,555.44,500-1000
1929,Kentucky,43.17,10-100
1929,Louisiana,88.79,10-100
1929,Maine,719.17,500-1000
1929,Maryland,126.04,100-500
1929,Massachusetts,351.42,100-500
1929,Michigan,376.46,100-500
1929,Minnesota,492.36,100-500
1929,Mississippi,NA,NA
1929,Missouri,183.46,100-500
1929,Montana,817.76,500-1000
1929,Nebraska,303.03000000000003,100-500
1929,Nevada,NA,NA
1929,New Hampshire,344.53,100-500
1929,New Jersey,181.86,100-500
1929,New Mexico,54.78,10-100
1929,New York,249.09,100-500
1929,North Carolina,38.49,10-100
1929,North Dakota,339.19,100-500
1929,Ohio,561.14,500-1000
1929,Oklahoma,46.19,10-100
1929,Oregon,492.32,100-500
1929,Pennsylvania,489.56,100-500
1929,Rhode Island,270.62,100-500
1929,South Carolina,12.2,10-100
1929,South Dakota,167.77,100-500
1929,Tennessee,33.04,10-100
1929,Texas,71.28,10-100
1929,Utah,68.9,10-100
1929,Vermont,105.31,100-500
1929,Virginia,NA,NA
1929,Washington,248.6,100-500
1929,West Virginia,380.14,100-500
1929,Wisconsin,1016.54,>1000
1929,Wyoming,312.15999999999997,100-500
1930,Alabama,157,100-500
1930,Alaska,NA,NA
1930,Arizona,466.31,100-500
1930,Arkansas,53.44,10-100
1930,California,760.24,500-1000
1930,Colorado,1132.76,>1000
1930,Connecticut,112.23,100-500
1930,Delaware,109.25,100-500
1930,District Of Columbia,182.1,100-500
1930,Florida,356.59000000000003,100-500
1930,Georgia,153.21,100-500
1930,Hawaii,NA,NA
1930,Idaho,196.66,100-500
1930,Illinois,216.07,100-500
1930,Indiana,120.73,100-500
1930,Iowa,395.59,100-500
1930,Kansas,666.71,500-1000
1930,Kentucky,70.15,10-100
1930,Louisiana,86.29,10-100
1930,Maine,198.88,100-500
1930,Maryland,73.89,10-100
1930,Massachusetts,630.29,500-1000
1930,Michigan,583.62,500-1000
1930,Minnesota,218.99,100-500
1930,Mississippi,NA,NA
1930,Missouri,149.81,100-500
1930,Montana,117.52,100-500
1930,Nebraska,745.3199999999999,500-1000
1930,Nevada,NA,NA
1930,New Hampshire,126.38,100-500
1930,New Jersey,602.87,500-1000
1930,New Mexico,529.23,500-1000
1930,New York,315.39,100-500
1930,North Carolina,41.17,10-100
1930,North Dakota,117,100-500
1930,Ohio,277.6,100-500
1930,Oklahoma,164.93,100-500
1930,Oregon,276.36,100-500
1930,Pennsylvania,356.56,100-500
1930,Rhode Island,39.230000000000004,10-100
1930,South Carolina,14.450000000000001,10-100
1930,South Dakota,346.31,100-500
1930,Tennessee,179.91,100-500
1930,Texas,73.12,10-100
1930,Utah,1044.79,>1000
1930,Vermont,236.69,100-500
1930,Virginia,NA,NA
1930,Washington,631.64,500-1000
1930,West Virginia,157.7,100-500
1930,Wisconsin,748.58,500-1000
1930,Wyoming,341.55,100-500
1931,Alabama,337.29,100-500
