age,gender,ethnicity,hispanic,region,education
50,1,1,1,3,7
67,2,1,1,4,7
56,2,1,1,3,6
75,2,1,1,1,4
71,1,1,1,3,6
35,2,2,1,1,6
50,2,1,1,3,2
59,2,1,1,2,6
65,1,1,1,3,4
47,1,1,1,3,7
19,1,1,1,1,2
43,1,1,1,3,4
47,1,1,14,1,7
37,1,1,1,3,1
22,2,1,1,2,2
35,2,1,1,2,7
27,2,1,16,2,6
28,2,1,1,3,7
58,1,1,1,2,4
32,2,2,1,3,2
56,2,1,1,1,6
20,2,1,1,3,2
62,2,1,1,3,2
30,2,4,1,4,6
38,2,1,1,2,6
23,2,2,1,3,2
42,2,1,1,2,2
24,2,1,1,3,6
34,1,4,15,3,2
71,2,1,1,3,5
25,2,1,1,3,6
74,2,1,1,4,4
27,2,1,1,3,6
67,2,1,1,2,2
33,2,2,1,1,6
35,2,1,1,3,2
21,2,2,1,3,2
40,2,1,1,1,6
28,2,1,1,3,6
38,2,1,1,2,2
19,2,1,1,2,2
48,2,1,1,3,2
61,2,1,1,1,2
33,2,1,1,2,4
29,1,1,1,3,2
33,2,1,1,3,2
32,1,2,1,1,4
33,2,1,1,3,2
66,2,1,1,4,6
49,2,1,1,4,7
33,2,2,1,4,4
40,2,2,1,3,2
47,2,1,1,1,2
27,2,4,1,3,6
21,2,15,2,2,2
65,2,1,1,3,2
35,2,1,1,1,6
41,2,1,1,3,2
23,2,1,2,3,6
19,2,15,2,4,6
22,2,15,2,3,6
45,2,1,1,2,6
34,2,15,1,4,6
27,2,15,2,1,4
22,2,1,1,3,2
46,2,1,1,2,2
22,2,4,1,1,2
21,2,1,1,3,6
60,2,2,1,4,6
39,2,1,1,4,6
30,2,1,1,3,2
19,2,2,2,3,6
38,2,1,1,2,6
61,1,1,1,4,6
18,2,1,1,3,2
57,2,1,1,1,4
36,2,4,1,4,6
29,2,1,1,3,2
70,2,1,1,4,4
56,2,1,1,2,2
66,2,1,1,4,5
44,1,1,1,3,5
23,2,1,1,2,2
25,1,2,1,2,2
56,1,1,1,1,6
20,2,1,1,3,2
50,1,1,1,1,2
31,1,1,1,2,4
20,2,1,1,3,2
18,2,1,1,2,6
30,1,8,1,4,4
47,2,1,1,1,2
31,2,1,1,3,2
65,2,1,1,2,4
61,2,1,1,3,2
33,1,1,1,1,4
26,2,2,1,3,4
32,2,15,2,4,2
31,2,1,1,3,1
55,2,2,1,3,2
27,1,2,1,3,2
31,2,1,1,1,6
36,2,2,1,3,6
60,2,2,1,3,2
73,2,1,1,1,2
37,2,1,1,2,4
46,2,1,1,3,4
47,2,1,1,3,6
71,1,1,1,2,7
33,1,1,1,3,2
34,2,1,1,1,6
62,1,1,1,3,8
46,2,1,1,3,4
34,2,2,1,3,7
50,2,1,1,3,3
35,2,1,1,4,6
36,2,1,1,3,2
34,1,15,2,1,6
22,2,1,2,3,4
27,2,1,1,3,6
21,2,15,1,3,2
28,2,15,2,1,4
20,2,15,2,1,2
64,2,1,1,4,2
50,2,1,1,3,4
28,1,1,1,3,6
23,2,1,1,2,4
36,2,1,1,4,6
22,1,1,15,3,2
34,2,1,1,4,2
73,2,1,1,2,2
56,2,15,2,3,2
27,2,16,15,1,2
38,2,1,1,1,6
40,2,1,1,3,2
27,2,1,1,1,2
24,2,1,1,4,6
22,2,2,1,1,2
67,1,1,1,2,6
32,1,1,1,3,6
57,2,15,2,4,2
22,2,15,2,3,6
69,1,1,1,1,6
45,1,15,2,3,2
25,2,4,1,4,6
44,1,1,1,2,2
68,2,1,1,2,2
37,1,1,1,2,2
20,2,1,2,1,2
42,2,1,1,4,4
75,2,1,1,2,6
33,2,1,1,3,2
26,2,1,1,4,6
38,2,1,1,3,2
45,2,1,1,2,2
46,2,1,1,4,4
19,2,15,2,2,2
34,2,15,1,3,6
31,2,1,1,3,6
27,2,1,1,3,7
41,2,4,1,1,7
26,2,1,1,4,6
27,2,15,2,1,2
18,2,1,1,2,6
26,2,15,2,4,2
23,2,4,1,4,6
26,2,1,1,3,2
34,2,1,1,3,6
45,2,2,1,3,2
26,2,1,1,3,6
54,2,1,1,2,4
29,2,1,1,2,6
58,2,1,1,2,5
30,2,1,1,3,2
22,2,1,1,3,6
43,1,16,1,2,6
41,2,15,2,4,2
22,2,1,1,1,7
39,2,1,1,1,2
37,2,1,1,3,6
32,2,1,1,3,2
45,2,1,2,3,6
46,1,1,1,2,6
25,2,15,2,2,2
32,2,1,1,3,2
21,2,1,1,3,2
57,1,1,1,2,6
42,1,1,1,3,2
42,1,1,1,3,2
35,2,1,1,3,2
38,1,1,1,1,2
41,2,4,1,1,6
27,1,2,1,2,6
50,2,1,1,2,6
28,2,1,1,4,7
43,2,2,1,3,6
34,1,4,1,4,6
38,2,2,1,3,6
30,1,1,1,1,7
30,1,4,1,2,7
23,2,2,1,3,6
41,2,1,1,4,2
45,2,1,1,2,3
26,2,15,1,3,6
52,2,1,1,1,2
22,2,2,1,2,2
45,2,1,1,2,6
43,2,1,1,1,2
42,1,1,1,3,2
36,2,16,1,2,6
48,2,1,1,3,7
57,2,1,1,3,4
25,2,4,1,4,4
63,2,1,1,3,1
32,1,2,1,3,4
25,2,1,1,2,6
42,1,2,1,3,2
29,2,15,1,1,6
66,2,1,1,3,2
50,2,1,1,4,4
21,2,2,1,2,2
21,2,1,2,3,4
24,2,2,1,3,4
41,1,2,1,1,6
35,1,1,2,2,8
41,2,1,1,4,6
39,2,1,1,1,2
18,2,3,1,3,2
52,1,1,1,1,2
19,2,4,1,1,6
18,2,15,2,3,2
25,1,15,2,4,2
61,2,1,1,3,6
57,2,1,1,3,2
33,1,1,1,3,4
55,2,1,1,3,6
47,2,1,1,3,4
51,2,1,1,2,6
61,2,1,1,3,4
26,1,1,1,4,6
27,2,2,1,3,6
29,2,1,1,3,6
25,2,2,1,1,2
27,1,1,1,2,6
26,2,1,1,3,2
27,2,1,2,1,2
75,1,1,1,3,6
36,2,15,2,4,4
71,2,1,1,3,7
21,2,1,1,4,2
24,2,15,2,4,6
36,2,2,1,2,4
45,1,1,1,2,2
39,2,1,1,3,2
24,2,3,1,3,4
34,2,15,2,3,2
48,1,1,1,4,6
44,2,1,1,3,2
33,1,1,1,2,2
37,2,15,2,3,6
70,2,1,1,4,7
68,2,1,1,1,4
29,2,2,1,3,6
21,2,2,1,1,2
52,2,1,1,1,6
25,2,1,1,1,2
33,2,1,1,3,2
34,2,4,1,3,7
33,2,1,1,2,2
31,2,15,2,4,2
60,2,1,1,2,2
24,2,2,1,2,6
44,2,1,1,4,6
30,1,1,1,3,7
57,2,2,1,3,4
24,2,2,1,2,2
78,2,1,1,3,6
56,2,2,1,3,6
34,2,3,1,3,6
50,2,2,1,2,6
46,2,1,1,3,6
53,2,1,1,3,2
28,2,1,1,2,6
32,2,1,1,2,6
45,2,1,1,1,1
38,2,1,1,2,2
42,2,1,1,2,2
68,2,2,1,3,2
38,2,1,1,3,6
30,2,15,2,3,2
30,2,2,1,3,6
24,2,15,2,3,6
45,1,2,1,3,6
29,2,15,2,3,2
76,2,1,1,2,7
42,2,1,1,3,6
30,1,3,1,3,6
29,2,15,2,4,6
30,2,5,1,3,6
27,2,4,1,4,6
36,2,1,1,4,6
50,2,1,1,3,4
74,1,2,1,2,2
24,1,2,1,2,6
23,1,1,1,3,6
25,2,1,1,3,2
30,2,1,1,2,2
39,2,2,1,3,2
45,2,1,1,3,1
46,2,1,1,4,2
