zip,total_pop,black,pct_black
ZCTA5 00601,17113,182,0.01063519
ZCTA5 00602,37751,908,0.024052343
ZCTA5 00603,47081,1514,0.032157346
ZCTA5 00606,6392,92,0.014392991
ZCTA5 00610,26686,461,0.017274976
ZCTA5 00612,59369,2870,0.048341727
ZCTA5 00616,10022,709,0.070744362
ZCTA5 00617,23750,860,0.036210526
ZCTA5 00622,6741,19,0.002818573
ZCTA5 00623,41746,766,0.018349063
ZCTA5 00624,21936,835,0.038065281
ZCTA5 00627,31598,561,0.017754288
ZCTA5 00631,1499,0,0
ZCTA5 00637,22383,474,0.021176786
ZCTA5 00638,16412,250,0.015232757
ZCTA5 00641,26712,296,0.011081162
ZCTA5 00646,37095,4700,0.126701712
ZCTA5 00647,5809,288,0.049578241
ZCTA5 00650,14534,190,0.013072795
ZCTA5 00652,3565,57,0.01598878
ZCTA5 00653,10484,559,0.053319344
ZCTA5 00656,18485,399,0.021585069
ZCTA5 00659,39950,323,0.008085106
ZCTA5 00660,15943,379,0.023772188
ZCTA5 00662,39700,2107,0.053073048
ZCTA5 00664,14693,357,0.024297284
ZCTA5 00667,23186,178,0.007677046
ZCTA5 00669,24803,188,0.007579728
ZCTA5 00670,8364,73,0.008727881
ZCTA5 00674,38971,1691,0.04339124
ZCTA5 00676,36299,1159,0.031929254
ZCTA5 00677,14093,53,0.003760732
ZCTA5 00678,25624,1006,0.039260069
ZCTA5 00680,45190,1521,0.033657889
ZCTA5 00682,31735,1140,0.035922483
ZCTA5 00683,29487,486,0.016481839
ZCTA5 00685,37058,1332,0.035943656
ZCTA5 00687,30962,628,0.020282927
ZCTA5 00688,12139,253,0.020841914
ZCTA5 00690,5722,67,0.011709193
ZCTA5 00692,35135,3557,0.101238082
ZCTA5 00693,53360,2924,0.054797601
ZCTA5 00694,64,0,0
ZCTA5 00698,35317,1346,0.038111957
ZCTA5 00703,26097,2430,0.093114151
ZCTA5 00704,8108,2667,0.328934386
ZCTA5 00705,22662,3444,0.151972465
ZCTA5 00707,10721,9251,0.862885925
ZCTA5 00714,17739,3488,0.196628897
ZCTA5 00715,2818,468,0.166075231
ZCTA5 00716,27513,1835,0.066695744
ZCTA5 00717,16086,1070,0.066517469
ZCTA5 00718,25430,954,0.037514746
ZCTA5 00719,28556,2107,0.073784844
ZCTA5 00720,20758,752,0.036226997
ZCTA5 00723,16984,14362,0.845619407
ZCTA5 00725,80537,7565,0.093931982
ZCTA5 00727,52743,3780,0.071668278
ZCTA5 00728,39083,2150,0.05501113
ZCTA5 00729,51015,6016,0.1179261
ZCTA5 00730,30175,1441,0.047754764
ZCTA5 00731,12657,458,0.03618551
ZCTA5 00735,12159,1008,0.082901554
ZCTA5 00736,46085,3158,0.068525551
ZCTA5 00738,29196,2970,0.101726264
ZCTA5 00739,36734,3334,0.090760603
ZCTA5 00740,1915,385,0.201044386
ZCTA5 00741,4074,1895,0.465144821
ZCTA5 00745,50435,6649,0.131833052
ZCTA5 00751,20677,8205,0.39681772
ZCTA5 00754,36893,11538,0.312742255
ZCTA5 00757,21757,8122,0.373305143
ZCTA5 00765,8523,635,0.074504283
ZCTA5 00766,22687,773,0.034072376
ZCTA5 00767,33499,26418,0.788620556
ZCTA5 00769,38812,11249,0.289833041
ZCTA5 00771,36906,28615,0.775348182
ZCTA5 00772,19529,8961,0.45885606
ZCTA5 00773,18224,1720,0.094381036
ZCTA5 00775,1299,77,0.059276366
ZCTA5 00777,39609,5673,0.143225025
ZCTA5 00778,46707,6443,0.137945062
ZCTA5 00780,11016,601,0.054557008
ZCTA5 00782,17670,2110,0.119411432
ZCTA5 00783,32769,2529,0.0771766
ZCTA5 00784,39823,5583,0.140195364
ZCTA5 00786,360,0,0
ZCTA5 00791,48433,9412,0.194330312
ZCTA5 00794,28434,1214,0.042695365
ZCTA5 00795,43873,3882,0.088482666
ZCTA5 00901,6617,823,0.124376606
ZCTA5 00906,191,0,0
ZCTA5 00907,15151,1373,0.090621081
ZCTA5 00909,4698,713,0.151766709
ZCTA5 00911,7089,629,0.088729017
ZCTA5 00912,5660,1060,0.187279152
ZCTA5 00913,7890,655,0.083016477
ZCTA5 00915,24888,3751,0.150715204
ZCTA5 00917,18196,2176,0.119586722
ZCTA5 00918,15759,1106,0.070182118
ZCTA5 00920,16281,3557,0.218475524
ZCTA5 00921,31801,6752,0.212320367
ZCTA5 00923,23851,3289,0.137897782
ZCTA5 00924,48141,8448,0.175484514
ZCTA5 00925,6640,1339,0.201656627
ZCTA5 00926,93330,9142,0.097953498
ZCTA5 00927,13626,929,0.068178482
ZCTA5 00934,109,46,0.422018349
ZCTA5 00936,773,29,0.037516171
ZCTA5 00949,72943,7680,0.10528769
ZCTA5 00950,0,0,#DIV/0!
ZCTA5 00951,0,0,#DIV/0!
ZCTA5 00952,7598,1582,0.208212688
ZCTA5 00953,71174,5144,0.072273583
ZCTA5 00956,63264,5382,0.085072079
ZCTA5 00957,38198,2568,0.067228651
ZCTA5 00959,46441,4286,0.092289141
ZCTA5 00960,2205,374,0.169614512
ZCTA5 00961,29743,2693,0.090542312
ZCTA5 00962,19082,2643,0.138507494
ZCTA5 00965,6709,925,0.137874497
ZCTA5 00966,15254,855,0.056050872
ZCTA5 00968,3448,105,0.030452436
ZCTA5 00969,41941,2571,0.061300398
ZCTA5 00971,25925,1912,0.073751205
ZCTA5 00976,58640,5573,0.095037517
ZCTA5 00979,16130,2162,0.134035958
ZCTA5 00982,14346,3143,0.219085459
ZCTA5 00983,33947,7720,0.227413321
ZCTA5 00985,31682,7572,0.239000063
ZCTA5 00987,54241,10563,0.194741985
ZCTA5 01001,17312,450,0.02599353
ZCTA5 01002,30014,1687,0.056207103
ZCTA5 01003,11357,486,0.042792991
ZCTA5 01005,5128,122,0.023790952
ZCTA5 01007,15005,83,0.00553149
ZCTA5 01008,1140,0,0
ZCTA5 01009,261,0,0
ZCTA5 01010,3658,141,0.038545653
ZCTA5 01011,1430,4,0.002797203
ZCTA5 01012,585,0,0
ZCTA5 01013,22733,1263,0.055557999
ZCTA5 01020,30108,1074,0.035671582
ZCTA5 01022,2586,519,0.200696056
ZCTA5 01026,933,0,0
ZCTA5 01027,17818,300,0.016836906
ZCTA5 01028,16242,770,0.047407955
ZCTA5 01029,538,0,0
ZCTA5 01030,11384,174,0.01528461
ZCTA5 01031,1135,7,0.006167401
ZCTA5 01032,495,0,0
ZCTA5 01033,6322,64,0.010123379
ZCTA5 01034,2186,0,0
ZCTA5 01035,5319,421,0.079150216
ZCTA5 01036,5178,10,0.001931248
ZCTA5 01037,747,6,0.008032129
ZCTA5 01038,2734,13,0.004754938
ZCTA5 01039,1207,24,0.01988401
ZCTA5 01040,40241,1826,0.045376606
ZCTA5 01050,2438,16,0.006562756
ZCTA5 01053,1593,75,0.047080979
ZCTA5 01054,2001,6,0.002998501
ZCTA5 01056,21291,302,0.014184397
ZCTA5 01057,8824,86,0.009746147
ZCTA5 01060,15948,417,0.026147479
ZCTA5 01062,10364,114,0.010999614
ZCTA5 01063,611,9,0.014729951
ZCTA5 01066,31,0,0
ZCTA5 01068,1833,6,0.003273322
ZCTA5 01069,8556,211,0.024661057
ZCTA5 01070,648,2,0.00308642
ZCTA5 01071,1318,42,0.031866464
ZCTA5 01072,1478,13,0.00879567
ZCTA5 01073,6144,25,0.00406901
ZCTA5 01074,411,0,0
ZCTA5 01075,17703,315,0.017793594
ZCTA5 01077,9720,7,0.000720165
ZCTA5 01079,781,0,0
ZCTA5 01080,2709,72,0.026578073
ZCTA5 01081,1883,6,0.003186405
ZCTA5 01082,10580,137,0.01294896
ZCTA5 01083,3094,0,0
ZCTA5 01084,168,0,0
ZCTA5 01085,41780,666,0.015940641
ZCTA5 01086,363,21,0.05785124
ZCTA5 01088,509,0,0
ZCTA5 01089,28609,916,0.032017896
ZCTA5 01092,1278,33,0.025821596
ZCTA5 01093,313,0,0
ZCTA5 01094,387,0,0
ZCTA5 01095,14728,462,0.031368821
ZCTA5 01096,2443,0,0
ZCTA5 01097,56,0,0
ZCTA5 01098,1263,4,0.003167063
ZCTA5 01103,2332,369,0.158233276
ZCTA5 01104,23740,2323,0.097851727
ZCTA5 01105,11841,2796,0.236128705
ZCTA5 01106,15987,150,0.009382623
ZCTA5 01107,11562,1372,0.118664591
ZCTA5 01108,27054,4908,0.181414948
ZCTA5 01109,30383,11465,0.377349176
ZCTA5 01118,14830,2618,0.176534053
ZCTA5 01119,13681,2406,0.175864337
ZCTA5 01128,2541,246,0.096812279
ZCTA5 01129,6941,1129,0.162656678
ZCTA5 01151,9032,2646,0.29295837
ZCTA5 01199,0,0,#DIV/0!
ZCTA5 01201,44458,1907,0.042894417
ZCTA5 01220,8179,73,0.008925296
ZCTA5 01222,807,0,0
ZCTA5 01223,2443,51,0.020875972
ZCTA5 01224,125,0,0
ZCTA5 01225,3105,32,0.010305958
ZCTA5 01226,6769,7,0.001034126
ZCTA5 01229,91,0,0
ZCTA5 01230,8525,222,0.026041056
ZCTA5 01235,2567,4,0.001558239
ZCTA5 01236,1311,71,0.054157132
ZCTA5 01237,2488,54,0.02170418
ZCTA5 01238,5814,114,0.019607843
ZCTA5 01240,4453,159,0.035706265
ZCTA5 01242,471,0,0
ZCTA5 01243,268,0,0
ZCTA5 01244,132,0,0
ZCTA5 01245,836,3,0.003588517
ZCTA5 01247,15466,241,0.015582568
ZCTA5 01253,769,0,0
ZCTA5 01254,902,9,0.009977827
ZCTA5 01255,891,8,0.008978676
ZCTA5 01256,680,59,0.086764706
ZCTA5 01257,2017,0,0
ZCTA5 01258,488,0,0
ZCTA5 01259,540,4,0.007407407
ZCTA5 01260,427,0,0
ZCTA5 01262,1005,87,0.086567164
ZCTA5 01264,206,2,0.009708738
ZCTA5 01266,1295,49,0.037837838
ZCTA5 01267,7753,392,0.050561073
ZCTA5 01270,796,0,0
ZCTA5 01301,17617,391,0.022194471
ZCTA5 01330,1276,1,0.000783699
ZCTA5 01331,13486,156,0.011567552
ZCTA5 01337,2532,0,0
ZCTA5 01338,113,0,0
ZCTA5 01339,1371,6,0.004376368
ZCTA5 01340,1779,8,0.004496908
ZCTA5 01341,1929,0,0
ZCTA5 01342,1259,158,0.125496426
ZCTA5 01343,78,0,0
ZCTA5 01344,1380,24,0.017391304
ZCTA5 01346,471,0,0
ZCTA5 01347,154,0,0
ZCTA5 01349,1391,7,0.005032351
ZCTA5 01350,87,0,0
ZCTA5 01351,2114,43,0.020340587
ZCTA5 01354,1596,89,0.055764411
ZCTA5 01355,931,0,0
ZCTA5 01360,2981,8,0.002683663
ZCTA5 01364,7729,43,0.005563462
ZCTA5 01366,1188,3,0.002525253
ZCTA5 01367,639,5,0.007824726
ZCTA5 01368,1377,0,0
ZCTA5 01370,3852,52,0.013499481
ZCTA5 01373,4854,0,0
ZCTA5 01375,3647,63,0.017274472
ZCTA5 01376,5013,117,0.023339318
ZCTA5 01378,792,0,0
ZCTA5 01379,829,32,0.038600724
ZCTA5 01420,40702,2018,0.049579873
ZCTA5 01430,6297,71,0.01127521
ZCTA5 01431,3220,14,0.004347826
ZCTA5 01432,7699,349,0.045330562
ZCTA5 01434,1969,368,0.186896902
ZCTA5 01436,3374,0,0
ZCTA5 01438,694,3,0.004322767
ZCTA5 01440,20610,586,0.0284328
ZCTA5 01450,11313,27,0.002386635
ZCTA5 01451,4731,0,0
ZCTA5 01452,4708,45,0.009558199
ZCTA5 01453,41647,2805,0.06735179
ZCTA5 01460,10071,62,0.00615629
ZCTA5 01462,11402,189,0.016576039
ZCTA5 01463,12105,96,0.007930607
ZCTA5 01464,7633,646,0.084632517
ZCTA5 01467,276,0,0
ZCTA5 01468,4062,0,0
ZCTA5 01469,7670,83,0.010821382
ZCTA5 01473,7766,0,0
ZCTA5 01474,1803,0,0
ZCTA5 01475,10825,129,0.011916859
ZCTA5 01501,16619,146,0.008785125
ZCTA5 01503,3182,13,0.004085481
ZCTA5 01504,9263,115,0.012414984
ZCTA5 01505,4623,9,0.001946788
ZCTA5 01506,3441,11,0.003196745
ZCTA5 01507,13550,120,0.008856089
ZCTA5 01510,13935,448,0.032149264
ZCTA5 01515,2040,22,0.010784314
ZCTA5 01516,8859,28,0.003160628
ZCTA5 01518,3947,1,0.000253357
ZCTA5 01519,7042,310,0.044021585
ZCTA5 01520,15781,146,0.009251632
ZCTA5 01521,2630,21,0.007984791
ZCTA5 01522,3270,23,0.007033639
ZCTA5 01523,7794,597,0.076597383
ZCTA5 01524,6654,160,0.024045687
ZCTA5 01525,544,0,0
ZCTA5 01527,13732,195,0.014200408
ZCTA5 01529,3256,16,0.004914005
ZCTA5 01531,1211,0,0
ZCTA5 01532,15056,489,0.032478746
ZCTA5 01534,6296,65,0.010324015
ZCTA5 01535,4774,49,0.01026393
ZCTA5 01536,7576,275,0.036298838
ZCTA5 01537,2201,78,0.035438437
ZCTA5 01540,11581,200,0.017269666
ZCTA5 01541,3455,15,0.004341534
ZCTA5 01542,2567,116,0.045188937
ZCTA5 01543,8685,3,0.000345423
ZCTA5 01545,37086,1001,0.026991317
ZCTA5 01550,16887,575,0.034049861
ZCTA5 01560,4396,126,0.02866242
ZCTA5 01561,209,0,0
ZCTA5 01562,11928,115,0.00964118
ZCTA5 01564,8091,105,0.012977382
ZCTA5 01566,5592,74,0.01323319
ZCTA5 01568,7894,600,0.076007094
ZCTA5 01569,14025,259,0.018467023
ZCTA5 01570,16973,835,0.049195782
ZCTA5 01571,11723,229,0.019534249
ZCTA5 01581,19037,370,0.019435835
ZCTA5 01583,7693,461,0.059924607
ZCTA5 01585,4569,9,0.001969796
ZCTA5 01588,9750,265,0.027179487
ZCTA5 01590,9404,208,0.022118248
ZCTA5 01602,22900,1691,0.073842795
ZCTA5 01603,19731,2319,0.117530789
ZCTA5 01604,38191,5440,0.142441937
ZCTA5 01605,28533,5450,0.191006904
ZCTA5 01606,19896,2381,0.119672296
ZCTA5 01607,8167,1759,0.215378964
ZCTA5 01608,4471,992,0.221874301
ZCTA5 01609,21628,1861,0.086045866
ZCTA5 01610,22023,2762,0.12541434
ZCTA5 01611,2277,85,0.03732982
ZCTA5 01612,4900,409,0.083469388
ZCTA5 01701,32590,1709,0.052439399
ZCTA5 01702,39799,3579,0.089926883
ZCTA5 01718,790,0,0
ZCTA5 01719,5561,41,0.007372775
ZCTA5 01720,22791,359,0.015751832
ZCTA5 01721,17710,397,0.022416714
ZCTA5 01730,14070,565,0.040156361
ZCTA5 01731,2059,89,0.043224866
ZCTA5 01740,5299,15,0.002830723
ZCTA5 01741,5224,0,0
ZCTA5 01742,19121,769,0.040217562
ZCTA5 01745,595,0,0
ZCTA5 01746,14724,173,0.011749525
ZCTA5 01747,5947,19,0.003194888
ZCTA5 01748,17598,333,0.018922605
